video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
3KdggIRWiR0,17.14.11,Яценюк. НЕпопулист. Вернулся,Анатолий Шарий,23,2017-11-13T10:54:46.000Z,"шарий|""шарий блог""|""новое видео шарий""|""шарий новое""|""анатолий шарий""|""шарий анатолий""|""ifhbq""|""видео шария""|""толя шарий""",419835,27738,656,4681,https://i.ytimg.com/vi/3KdggIRWiR0/default.jpg,False,False,False,Новости БЕЗ нашего мнения - http://sharij.net/\n\nFacebook - https://www.facebook.com/anatolijsharij \nVK - https://vk.com/id26867380 \nTwitter - https://twitter.com/anatoliisharii\nInstagram - https://www.instagram.com/anatolijsharij
6X4YapxVq0A,17.14.11,ПИПЛТØК - PARALON (дисс на PHARAOH),PEOPLETALK,23,2017-11-13T08:44:23.000Z,"Пипилток|""Фараон""|""Pharaon""|""Дисс""|""2017""|""Юмор""|""Смех""|""Шок""|""Comedy""|""Шоу""",64303,1864,1856,263,https://i.ytimg.com/vi/6X4YapxVq0A/default.jpg,False,False,False,"Видео создано исключительно в  художественных целях, все персонажи вымышленные, любое совпадение случайно. Это всего лишь юмор, шоу и развлечение!)\n\n☛ Follow Instagram/VK:\nhttps://www.instagram.com/people_tlk/\n\n✉  managementptlk@gmail.com\n________________________________\n\nВидеопродакшн - campoza.studio@mail.ru\nСъемка - Андрей Мещеряков [https://vk.com/id131601629]\nМонтаж - Олег Савин [https://vk.com/id169797520]"
Omdo0bhd4Q8,17.14.11,#МОЙ ОТЕЦ,Канал Стинта :3,28,2017-11-13T11:47:53.000Z,"история из жизни|""стинт хештег""|""пиратские игры""|""клоны игр""|""пираты""|""китай""|""китайские консоли""|""китайские игры""|""пиратские консоли""|""пиратская игра""|""стинт пиратские игры""|""стинт""|""хештег""|""мой отец""|""папа""|""отчем""|""история о отце""",163041,25462,420,3210,https://i.ytimg.com/vi/Omdo0bhd4Q8/default.jpg,False,False,False,Ссылка: https://topskin.net/\nМой инстаграм: https://instagram.com/thestintgames \nЯ в Вконтакте: https://vk.com/thestint\nРОСПИСЬ ОТ МЕНЯ В ВК: https://goo.gl/VQ2NoK\n\nГруппа в Вконтакте: http://vk.com/stintgameshow\n\nМой Твиттер: https://twitter.com/TheStintGames\n\nМоя партнерская программа: http://goo.gl/vSXnhM
CMRuwAxwFzk,17.14.11,Раскрутка и продвижение на YouTube,Раскрутка в YouTube,27,2017-11-13T10:52:28.000Z,[none],23405,32,186,39,https://i.ytimg.com/vi/CMRuwAxwFzk/default.jpg,False,False,False,"http://justdirect.ru/youtubehero2/ Успей вписаться в новый тренинг по Герои продвижения YouTube 2 \n0:23 Здравствуйте, меня зовут Сергей Архангельский, я эксперт по раскрутке и продвижению в ютубе, и я приглашаю вас на мой тренинг Герои продвижения ютуб 2. 1:21 Почему 2? Потому что в свое время, пару года назад была запущена коучинг группа герои продвижения ютуб. 2:55 Она дала многие результаты, благодаря ей люди вывели видео в топ, благодаря ей многие люди стали менеджерами ютуб и стали зарабатывать от 50000 в месяц. 4:48 Сегодня я могу предложить вам более интересную программу со специальными наработками и фишками за 2017 год, чтобы вы достигали максимального результата. Я не делю свою аудиторию на новичков и на уже экспертов. Я скорее делю на тех людей, кто является менеджерами ютуба, кто продвигает чужие каналы и видео, либо у вас есть свой бизнес, если вы хотите привлекать целевой трафик на свои магазины, сайты, площадки. Вы прекрасно понимаете что цена клика в гугл адвордс и яндекс директ просто астрономическая. Вам нужен дешевый целевой трафик, этот трафик может дать вам ютуб. Тренинг длится 21 день, то есть 3 недели и начнется 21 ноября. Занятия будут не каждый день, будет специальный кабинет у людей, чтобы выполнять задания, будут касты, будут личные консультации в групповой консультации в режиме хэнгаутс, они показали очень хороший результат на первом тренинге. Вы получите уроки в реальном времени, ответы на вопросы, поддержку. Те, кто вписывается в комплект голд или вип получат доступ к скайп группе, где вы можете обмениваться опытом, получать ответы. По результатам тренинга вы получите сертификат, который можете повесить на стену и гордиться. В чем преимущества? Я гарантирую результат. Вы получите целевых подписчиков, вы выведет как минимум один ролик в топ, вы станете экспертом в ютубе, вы получите целевой трафик в свой магазин. Программа курс - подробная программа, она представлена на вашем мониторе. На первом уроке разберем как составлять семантическое ядро, разберем 3 вершины раскрутки ютуб и где мы можем посмотреть какие вершины нам нужно докрутить. Разберем, какие характеристики влияют на продвижение, что такое внешние и внутренние характеристики, как уникализировать контент, ка делать посев в соц сетях, как правильно накручивать характеристики, как привлекать массово подписчиков. Сейчас 3 комплекта есть, стандарт 4300р голд 6500р и коучинг вип. Чем они отличаются? Стандарт - вы просто получаете записи. Кроме того, если заказываете прямо сейчас - получаете записи первого тренинга. До 21 ноября у вас есть время чтобы разобраться в ютубе и основах раскрутки. Но покупая стандарт вы не получаете уникальную возможность попасть в группу скайпа на год и получить обратную связь от меня и вам мои коллеги помогут. Кроме этого вы получаете одну личную консультацию по скайпу в течении часа. Но самый интересный вариант это вип. Мы встречаемся каждую неделю в скайпе и я гарантирую что вы выведете как минимум два видео в топ либо вы продадите свои навыки клиентам в ютубе, которых интересует продвижение. В чем еще уникальность курса? Я  обучаю каким образом продавать свою экспертность. Будут отдельные занятия, где я подробно рассказываю как продать себя, как составить коммерческое предложение и как стать менеджером ютуба и зарабатывать 50-70 тысяч. если вы покупаете коучинг вип вы получаете 1000 подписчиков на канал. Курс веду я, Сергей Архангельский, автор книги, которая продалась очень быстро, раскрутка и продвижение в ютубе. Очень завидую тем, кто успел ее купить. Мои ролики и каналы в топе, у меня 2 канал - сергей архангел и джастдирект ру. Чтобы не быть голословным, давайте посмотрим. Многие эксперты хвастаются достижениями, которых нет. Чтобы не быть голословным, давайте поищем раскрутка в ютубе и что мы видим? мой канал на втором месте, а если набрать продвижение в ютубе - мой канал на 2 месте, мой сайт на третьем. Тем самым я показываю, что я являюсь тренером - практиком, у меня реальные результаты. Кроме того, мои клиенты попадают в тренды, например канал ивана рудакова, который вывели в топ и он получил за пару дней около 30000 просмотров. Мои отзывы: отзыв от компании тион, которая занимается бризерами а это от компании москва 24. Я советую не откладывать, переходите на сайт и заказывайте. Это был Сергей Архангельский http://justdirect.ru\nhttps://www.youtube.com/watch?v=CMRuwAxwFzk\nhttps://www.youtube.com/channel/UC_k7HQ982dD0VcbXYdaR6dw"
t9NxCOsmzcY,17.14.11,Андрей Талалаев: Енисей взял скоростью и контролем мяча,Футбольный клуб Енисей,17,2017-11-12T14:25:26.000Z,[none],113371,218,62,95,https://i.ytimg.com/vi/t9NxCOsmzcY/default.jpg,False,False,False,Пресс-конференция главного тренера Тамбова после матча с Енисеем (0:2)
sI2Mpp9AWRg,17.14.11,ЗАЧЕМ ПУТИН ПОЙДЕТ НА ВЫБОРЫ?,kamikadzedead,23,2017-11-13T11:48:14.000Z,"выборы|""2018""|""путин""|""участие""",210181,34370,26569,5828,https://i.ytimg.com/vi/sI2Mpp9AWRg/default.jpg,False,False,False,"Пойдет ли Владимир Путина на выборы? И в каких шикарных условиях ему это предстоит сделать? Бесплатные консультации призывникам в группе ВКонтакте \nhttp://vk.me/prizyva_net Сайт «ПризываНет.ру» http://prizyvanet.ru/?yt \nПомощь денежкой http://www.donationalerts.ru/r/kamikadzedead\nРеклама, сотрудничество https://goo.gl/ddnKhN\nСажают за репост https://vk.com/video-98780954_456239169\nЛюдей сделали бездомными https://youtu.be/btcAnjjtcg8\nУгольный ад Кузбасса https://youtu.be/T61cQw0wjw0\nТараканчики в Белой Калитве https://vk.com/wall-63823388_1137842?w=wall-63823388_1137842\nПутин участвует в выборах!! http://www.rbc.ru/politics/13/11/2017/5a0588129a7947226474d93a?from=newsfeed\nНаши новости в телеграме https://telegram.me/satirabezpozitiva\nПаблик Сатира без Позитива- https://vk.com/satyrabezsortyra\nРоссийский YouTube уничтожает мой канал, подробности:\n1) https://youtu.be/DZwAVsAgsLQ\n2) https://youtu.be/5V5lLXtRtCg\n3) https://youtu.be/0Olt1eF4AGM\nИмена и фамилии руководства кремлеботов https://yadi.sk/i/UoAsIIeb3LosjS\nНаши новости в твиттере https://twitter.com/SatiraBezP\nВидео, отвечающие на вопросы А ЧТО ТЫ ПРЕДЛАГАЕШЬ?\n1) https://youtu.be/upmD373wH-c\n2) https://youtu.be/NHM02-pRDuk\n3) https://youtu.be/T8sOB2NkIhA\n4) https://youtu.be/odS7Lo8csyc\n5) https://youtu.be/Vg0tAcn5FFY\nПаблик Сатира без Позитива в ОК https://ok.ru/satirabezp\nЯ в Ватноклассниках - http://www.ok.ru/profile/566798658882\nЯ в контакте - http://vkontakte.ru/kamikadzedead\nПаблик #Эксперты #Знатоки https://vk.com/realproblemsrussia\nЛетсплеи - http://www.twitch.tv/kamikadzeplay\nМой Twitter - http://twitter.com/kamikadze_d\nЯ на ФБ http://www.facebook.com/dmitry.ivanov.9634?ref=tn_tnmn\nGoogle+ https://plus.google.com/u/0/103614022894261388839/posts\nЖЖ - http://kamikadze-d.livejournal.com\nЛайв канал http://www.youtube.com/kamikadzelive"
ZYNJKWCFrH8,17.14.11,ЗАБЫТЫЕ ЗВЁЗДЫ 2000-ЫХ,DaiFiveTop,24,2017-11-13T16:05:57.000Z,"top|""top5""|""dai5""|""dai 5""|""daifivetop""|""leekei""|""facts""|""best""|""топ""|""дай 5""|""дай пять""|""лучшее""|""факты""|""top 5""|""dai five top""|""lee kei""|""ли кей""|""johnyboy""|""music""|""video""|""2000""|""2017""|""джоннибой""|""джонибой""|""музыка""|""рэп""|""куда пропал""|""где он""|""где""|""версус""|""versus""|""vs""|""против""|""johnyboy умер""|""johnyboy гп""|""johnyboy 2017""|""johnyboy sd""|""johnyboy gp""|""johnyboy vs oxxxymiron""|""johnyboy метамфетамир""|""johnyboy на улице мертвых фонарей""|""johnyboy когда мы взлетаем""|""johnyboy день плохого парня""",191348,10679,762,790,https://i.ytimg.com/vi/ZYNJKWCFrH8/default.jpg,False,False,False,"Играть в War Thunder бесплатно https://wt.link/dai5\n\nПОДПИШИСЬ НА НОВЫЕ ВЫПУСКИ ► http://bit.ly/daifivetop\nМы Вконтакте ► http://vk.com/DaiFiveTop\nLee Kei ► http://vk.com/leekeifuture\nInstagram Lee Kei ► http://instagram.com/leekeifuture\nТвич ► http://twitch.tv/lee_kei\nТвиттер ► http://twitter.com/leekeifutureboy \nFacebook ► http://facebook.com/DaiFiveTop\nСотрудничество: daifivepromo@gmail.com\n\nМногие звёзды в 2000-ых были на пике своей славы, но потом резко исчезли из видимости. О десяти таких популярных персонах  мы и расскажем."
ss0q7YJ8weU,17.14.11,5 антиЛАЙФХАКОВ без которых жизнь невозможна!,DIPT,22,2017-11-13T15:49:05.000Z,"лайфхаки|""дипт""|""dipt""|""антилайфхаки""|""лайфхаки с едой""|""юмор""|""смешные видео""|""пища""|""2017""|""супер лайфхаки""|""смешные лайфхаки""|""глупые""|""эксперименты""",148974,5434,5247,1612,https://i.ytimg.com/vi/ss0q7YJ8weU/default.jpg,False,False,False,"Инвестируй -  https://binary-monster.com/ \nВступай в группу -  https://m.vk.com/binary_monster1\n__________________________________\nᗌᗌ Сотрудничество →  dipt@wildjam.ru\nᗌ    Я в ВК → http://vk.com/idipt\nᗌ    Вступай в группу канала в ВК → http://vk.com/diptyoutube\nᗌ    Мой канал, подписывайся → http://www.youtube.com/user/iDIPT\nᗌ    Мой второй канал с влогами → http://bit.ly/1RmDgWG\nᗌ    Мой сервер SAMP.  IP: Crimegta.com:8888\nᗌᗌ Моя партнёрская программа AIR http://join.air.io/Dipt\nПЛЕЙЛИСТ СО ВСЕМИ МОИМИ ВИДЕО - http://bit.ly/1IhN3tO\n\nНа моём канале вы можете увидеть множество смешных видео, это и лайфхаки для дома,  для кухни, лайфхаки с едой, кароче огромная подборка лайфхаков, а так же различные полезные советы для дома,  так же на своём канале я показываю пранки и приколы над друзьями , т.е разыгрываю своих друзей разными приколами. Ещё на моём канале имеются различные эксперименты, например с пиротехника, неньютоновской жидкостью, светящаяся жидкость,.  Так же вы найдёте оптические иллюзии и самоделки своими руками, и в домашних условиях, например вы узнаете как сделать самодельный мангал. Ещё на канале есть рубрика diy и что будет если!  2017.  \nСпасибо за просмотр:) Заходи ещё раз:)"
6846jSXLg9o,17.14.11,Неожиданная встреча с подписчиком,ИЛЬДАР АВТО-ПОДБОР,2,2017-11-13T16:48:44.000Z,"Самара|""автоподбор в самаре""|""митсубиси""|""лансер""|""лансер9""|""mitsubishi""|""lancer""|""lancer9""|""авария""|""ремень безопасности""|""дтп""|""оживление мертвеца""|""бу авто""|""авто с пробегом""|""эксперт""|""автоэксперт""|""диагностика""|""авто""|""ремонт двс""|""jdm""|""автошлак""|""авария в самаре""|""обман при покупке""|""4g13""|""авторазвод""|""впарили""|""проблемный авто""|""авто от перекупа""|""pt cruiser""|""chrysler""|""жор масла""|""масложор""|""непристегнутый ремень""|""дтп в самаре""|""авария на московском шоссе""|""4g18""|""4g63""|""lancer IX""|""авто подбор самара""|""автоподбор рф""",362255,13776,874,1331,https://i.ytimg.com/vi/6846jSXLg9o/default.jpg,False,False,False,"Всем привет! Открытие филиала в Самаре не обошлось без приключений. Попытка оживить очередного мертвеца, стать свидетелем серьезной аварии и конечно встреча с подписчиками нашего канала!\n\nТел. для собеседования в г. Самара:  +7 996-748-37-12\n\n\nИльдар в ВК: https://vk.com/cars_podbor \nИльдар в ИНСТАГРАМ: https://www.instagram.com/ildar_autopodbor/\nИльдар в Facebook : https://www.facebook.com/AutoPodborRF/?fref=ts\nИльдар на DRIVE2 : https://www.drive2.ru/o/Auto-PodborRF\nМосква:          +7 (495) 118-26-22\nСанкт-Петербург: +7 (812) 425 62 20\nНижний Новгород: +7 (831) 235-12-92\nКраснодар:       +7 (861) 204-17-37  \nТула:                +7 (4872) 44-04-78 \nКазань:           +7 (843) 207-29-27\nЕкатеринбург: +7(343) 247-20-07\nРостов-на-Дону: +7(863) 322-60-20\nСамара:               +7 (846) 229-59-87\nВоронеж:             +7 (473) 200-04-96\n\nОбзоры лучших автомобилей в своем бюджете: http://www.youtube.com/playlist?list=PLRxwTUeHPWhEnIcS82Py-p7ZEDFJy3psR\nРазвод и Обман при покупке : http://www.youtube.com/playlist?list=PLRxwTUeHPWhEg5yIIsUTaK6R6ToJSI6SV\n\nНаш адрес в Москве: Каширское ш., д 41, офис 41. \nНаш сайт: http://ap4u.ru/?utm_source=youtube&utm_medium=social&utm_campaign=yt-000211\nРаботаем с 9:00 до 21:00. Без выходных.\nКонсультации бесплатно! Обращайтесь!"
3U3FcX9NYXg,17.14.11,В Саранске обрушилась многоэтажка,Известия Мордовии,25,2017-11-13T11:55:37.000Z,"Саранск|""Мордовия""",46143,45,566,73,https://i.ytimg.com/vi/3U3FcX9NYXg/default.jpg,False,False,False,"Три человека, по предварительным данным, находятся под завалами обрушившийся новостройки в Саранске."
